month,state,district,pincode,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,bio_total,demo_total,bio_demo_ratio,anomaly_flag
2025-01,Andaman & Nicobar Islands,Andamans,25299936,0.0,33.0,96.0,923.0,1019.0,33.0,29.970588235294116,-1
2025-01,Andaman & Nicobar Islands,Nicobars,744301,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
2025-01,Andaman & Nicobar Islands,South Andaman,11906076,0.0,13.0,1.0,10.0,11.0,13.0,0.7857142857142857,1
2025-01,Andaman and Nicobar Islands,Nicobar,26050573,33.0,386.0,534.0,513.0,1047.0,419.0,2.492857142857143,1
2025-01,Andaman and Nicobar Islands,North And Middle Andaman,49861732,60.0,861.0,2102.0,2074.0,4176.0,921.0,4.5292841648590025,-1
2025-01,Andaman and Nicobar Islands,South Andaman,83342732,87.0,546.0,3733.0,2563.0,6296.0,633.0,9.930599369085174,-1
2025-01,Andhra Pradesh,Adilabad,235475027,517.0,5336.0,6035.0,20122.0,26157.0,5853.0,4.46822685343355,-1
2025-01,Andhra Pradesh,Alluri Sitharama Raju,154087733,597.0,4849.0,5218.0,5934.0,11152.0,5446.0,2.0473655223058564,-1
2025-01,Andhra Pradesh,Anakapalli,142329353,615.0,4102.0,2226.0,1843.0,4069.0,4717.0,0.8624417125900805,1
2025-01,Andhra Pradesh,Anantapur,522200084,1481.0,21958.0,21756.0,32725.0,54481.0,23439.0,2.3242747440273037,-1
2025-01,Andhra Pradesh,Ananthapur,468077170,2586.0,7948.0,50370.0,11369.0,61739.0,10534.0,5.860370194589463,-1
2025-01,Andhra Pradesh,Ananthapuramu,470662892,6914.0,25421.0,71315.0,12098.0,83413.0,32335.0,2.579570757050965,-1
2025-01,Andhra Pradesh,Annamayya,162774612,3875.0,16881.0,3658.0,2294.0,5952.0,20756.0,0.28674663968781616,-1
2025-01,Andhra Pradesh,Bapatla,144272136,906.0,5155.0,1908.0,1253.0,3161.0,6061.0,0.5214450676344441,1
2025-01,Andhra Pradesh,Chittoor,624058873,12129.0,74914.0,112611.0,50231.0,162842.0,87043.0,1.8708009742199347,-1
2025-01,Andhra Pradesh,Cuddapah,467224385,3063.0,24696.0,79058.0,31889.0,110947.0,27759.0,3.9966498559077808,-1
2025-01,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,174374028,544.0,4108.0,2005.0,1726.0,3731.0,4652.0,0.8018482699333763,1
2025-01,Andhra Pradesh,East Godavari,851002458,6925.0,61161.0,133483.0,61304.0,194787.0,68086.0,2.860854494984358,-1
2025-01,Andhra Pradesh,Eluru,181137130,721.0,4609.0,2609.0,2627.0,5236.0,5330.0,0.9821797036203339,1
2025-01,Andhra Pradesh,Guntur,648738366,9218.0,79994.0,130649.0,64403.0,195052.0,89212.0,2.1863629740060304,-1
2025-01,Andhra Pradesh,Hyderabad,307022819,907.0,7343.0,12449.0,50539.0,62988.0,8250.0,7.633983759544297,-1
2025-01,Andhra Pradesh,K.V.Rangareddy,17542132,3.0,33.0,17.0,25.0,42.0,36.0,1.135135135135135,1
2025-01,Andhra Pradesh,K.v. Rangareddy,9529140,1.0,5.0,40.0,25.0,65.0,6.0,9.285714285714286,-1
2025-01,Andhra Pradesh,Kakinada,178660525,1823.0,12076.0,3970.0,3033.0,7003.0,13899.0,0.5038129496402878,-1
2025-01,Andhra Pradesh,Karim Nagar,37896071,10.0,58.0,131.0,472.0,603.0,68.0,8.73913043478261,-1
2025-01,Andhra Pradesh,Karimnagar,186479944,131.0,1160.0,1830.0,5855.0,7685.0,1291.0,5.948142414860681,-1
2025-01,Andhra Pradesh,Khammam,290099619,649.0,6320.0,7323.0,15475.0,22798.0,6969.0,3.270875179340029,-1
2025-01,Andhra Pradesh,Krishna,664504395,4145.0,38969.0,100551.0,52440.0,152991.0,43114.0,3.5484402180215704,-1
2025-01,Andhra Pradesh,Kurnool,549424167,14693.0,85891.0,176069.0,63924.0,239993.0,100584.0,2.3859720634289405,-1
2025-01,Andhra Pradesh,Mahabub Nagar,136483851,38.0,799.0,284.0,1713.0,1997.0,837.0,2.383054892601432,1
2025-01,Andhra Pradesh,Mahabubnagar,4073118,0.0,2.0,3.0,4.0,7.0,2.0,2.3333333333333335,1
2025-01,Andhra Pradesh,Mahbubnagar,133923741,219.0,1501.0,1447.0,5048.0,6495.0,1720.0,3.7739686228936664,-1
2025-01,Andhra Pradesh,Medak,200392732,289.0,1944.0,2600.0,7559.0,10159.0,2233.0,4.547448522829006,-1
2025-01,Andhra Pradesh,N. T. R,191127626,2436.0,17479.0,4296.0,4709.0,9005.0,19915.0,0.452149025908817,-1
2025-01,Andhra Pradesh,Nalgonda,221073809,203.0,3401.0,2495.0,11597.0,14092.0,3604.0,3.9090152565880723,-1
2025-01,Andhra Pradesh,Nandyal,167950393,3148.0,14370.0,3768.0,2666.0,6434.0,17518.0,0.3672584051601119,-1
2025-01,Andhra Pradesh,Nellore,463449146,1270.0,18121.0,68805.0,36501.0,105306.0,19391.0,5.430383663366337,-1
2025-01,Andhra Pradesh,Nizamabad,108701633,79.0,645.0,1461.0,3783.0,5244.0,724.0,7.2331034482758625,-1
2025-01,Andhra Pradesh,Palnadu,159362273,2343.0,12453.0,4034.0,2712.0,6746.0,14796.0,0.4559032236264108,-1
2025-01,Andhra Pradesh,Parvathipuram Manyam,128866530,482.0,3032.0,3773.0,3620.0,7393.0,3514.0,2.103271692745377,-1
2025-01,Andhra Pradesh,Prakasam,600677908,3899.0,38504.0,98658.0,45198.0,143856.0,42403.0,3.392510140552778,-1
2025-01,Andhra Pradesh,Rangareddi,247385398,564.0,3768.0,6710.0,25224.0,31934.0,4332.0,7.369951534733441,-1
2025-01,Andhra Pradesh,Sri Potti Sriramulu Nellore,186058210,1235.0,7515.0,3758.0,2276.0,6034.0,8750.0,0.6895211975774197,-1
2025-01,Andhra Pradesh,Sri Sathya Sai,185019374,1853.0,7681.0,3829.0,2668.0,6497.0,9534.0,0.6813843733613004,-1
2025-01,Andhra Pradesh,Srikakulam,424865558,11151.0,62655.0,91794.0,41437.0,133231.0,73806.0,1.8051268849838091,-1
2025-01,Andhra Pradesh,Tirupati,180323096,2583.0,15055.0,3359.0,3144.0,6503.0,17638.0,0.36867169340665573,-1
2025-01,Andhra Pradesh,Visakhapatnam,568514636,8654.0,69619.0,138852.0,75062.0,213914.0,78273.0,2.732887037841429,-1
2025-01,Andhra Pradesh,Vizianagaram,402841058,3885.0,31394.0,70513.0,34682.0,105195.0,35279.0,2.98171768707483,-1
2025-01,Andhra Pradesh,Warangal,305750144,858.0,7291.0,7143.0,21384.0,28527.0,8149.0,3.5002453987730062,-1
2025-01,Andhra Pradesh,West Godavari,710474497,5732.0,51955.0,94430.0,50464.0,144894.0,57687.0,2.5116835390375813,-1
2025-01,Andhra Pradesh,Y. S. R,159010373,2496.0,13333.0,3129.0,2128.0,5257.0,15829.0,0.33209096651926723,-1
2025-01,Arunachal Pradesh,Anjaw,9505248,26.0,224.0,332.0,374.0,706.0,250.0,2.812749003984064,1
2025-01,Arunachal Pradesh,Changlang,50694452,157.0,1394.0,2437.0,1628.0,4065.0,1551.0,2.619201030927835,1
2025-01,Arunachal Pradesh,Dibang Valley,7921010,0.0,3.0,96.0,111.0,207.0,3.0,51.75,-1
2025-01,Arunachal Pradesh,East Kameng,11061433,12.0,54.0,1274.0,1041.0,2315.0,66.0,34.55223880597015,-1
2025-01,Arunachal Pradesh,East Siang,15030952,38.0,194.0,865.0,675.0,1540.0,232.0,6.609442060085837,-1
2025-01,Arunachal Pradesh,Kamle,3955650,0.0,11.0,38.0,58.0,96.0,11.0,8.0,-1
2025-01,Arunachal Pradesh,Kra Daadi,6328944,27.0,107.0,492.0,422.0,914.0,134.0,6.770370370370371,-1
2025-01,Arunachal Pradesh,Kurung Kumey,10284534,11.0,19.0,621.0,1842.0,2463.0,30.0,79.45161290322581,-1
2025-01,Arunachal Pradesh,Leparada,2373303,0.0,1.0,2.0,0.0,2.0,1.0,1.0,1
2025-01,Arunachal Pradesh,Lohit,24554312,32.0,263.0,700.0,1469.0,2169.0,295.0,7.327702702702703,-1
2025-01,Arunachal Pradesh,Longding,18180505,48.0,290.0,930.0,706.0,1636.0,338.0,4.825958702064897,1
2025-01,Arunachal Pradesh,Lower Dibang Valley,9505320,39.0,255.0,560.0,551.0,1111.0,294.0,3.766101694915254,1
2025-01,Arunachal Pradesh,Lower Siang,12657836,25.0,76.0,52.0,24.0,76.0,101.0,0.7450980392156863,1
2025-01,Arunachal Pradesh,Lower Subansiri,11075676,51.0,336.0,860.0,822.0,1682.0,387.0,4.335051546391752,1
2025-01,Arunachal Pradesh,Namsai,27723623,59.0,645.0,1797.0,1867.0,3664.0,704.0,5.197163120567376,1
2025-01,Arunachal Pradesh,Pakke Kessang,790103,0.0,0.0,12.0,6.0,18.0,0.0,18.0,-1
2025-01,Arunachal Pradesh,Papum Pare,57751321,180.0,1401.0,2480.0,3241.0,5721.0,1581.0,3.6163084702907713,1
2025-01,Arunachal Pradesh,Shi-yomi,7119027,1.0,6.0,90.0,94.0,184.0,7.0,23.0,-1
2025-01,Arunachal Pradesh,Siang,15821333,29.0,173.0,404.0,324.0,728.0,202.0,3.586206896551724,1
